web-scraper-order,web-scraper-start-url,link,link-href,name,rating,evals,
1616367875-44,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Mushi Reposteria,https://www.ubereats.com/queretaro/food-delivery/mushi-reposteria/u5u6c648RuGisJpvlXOO1Q,Mushi Reposteria,null,null,
1616368020-55,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Sinatra 351,https://www.ubereats.com/queretaro/food-delivery/sinatra-351/zO7nnJCgSxGnkdd6nTwxDA,Sinatra 351,null,null,
1616367823-40,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Splash Burger (Balaustradas),https://www.ubereats.com/queretaro/food-delivery/splash-burger-balaustradas/tAiDN6pfTMKGIcedw6LWlA,Splash Burger (Balaustradas),null,null,
1616367900-46,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Bocca Lupo,https://www.ubereats.com/queretaro/food-delivery/bocca-lupo/TWDVoVOETse5u_N_sdDzuQ,Bocca Lupo,null,null,
1616367940-49,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Be Green,https://www.ubereats.com/queretaro/food-delivery/be-green/rGwyplXBQ6qCLFOWVK1ZZA,Be Green,null,null,
1616367862-43,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Juguetron® 🛒🧸 (Constituyentes),https://www.ubereats.com/queretaro/food-delivery/juguetron-constituyentes/Eu6SVim8T7KwV2ih4V-ndQ,Juguetron® 🛒🧸 (Constituyentes),null,null,
1616368512-96,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Aldo´s Pizza El Marqués,https://www.ubereats.com/queretaro/food-delivery/aldo-s-pizza-el-marques/sWXu1zF2SSiqjFg8TEmQbw,Aldo´s Pizza El Marqués,4.6,-51,
1616368441-90,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Lucky Wings Centro Sur,https://www.ubereats.com/queretaro/food-delivery/lucky-wings-centro-sur/z3ZsQJHcS8qne8Cf4Od6MQ,Lucky Wings Centro Sur,4.5,-115,
1616368280-76,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Blackbird Coffee Shop,https://www.ubereats.com/queretaro/food-delivery/blackbird-coffee-shop/JYIXLHVYQCOH73ZoVohZxg,Blackbird Coffee Shop,4.1,-67,
1616368173-67,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Mi Tiendita Vegetariana,https://www.ubereats.com/queretaro/food-delivery/mi-tiendita-vegetariana/CQPEUMykSdi1Rj3qCV_qjQ,Mi Tiendita Vegetariana,null,null,
1616367773-36,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Santa Crepa,https://www.ubereats.com/queretaro/food-delivery/santa-crepa/WZr-2v9XS-Gsk4h7NJg0xQ,Santa Crepa,null,null,
1616368488-94,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,La Bocha,https://www.ubereats.com/queretaro/food-delivery/la-bocha/l7WmFXAFRGOlVzCIH8CWPg,La Bocha,4.7,-73,
1616368453-91,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,La Marmota (Mirador),https://www.ubereats.com/queretaro/food-delivery/la-marmota-mirador/zQPPz2dOR3ixVhcHmaqbcg,La Marmota (Mirador),4.5,-207,
1616367837-41,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,"Corner ""Food & Coffee""",https://www.ubereats.com/queretaro/food-delivery/corner-%22food-%26-coffee%22/Si0KIUMeTheHh-br7rA7eQ,"Corner ""Food & Coffee""",null,null,
1616368137-64,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Little Caesars (Constituyentes),https://www.ubereats.com/queretaro/food-delivery/little-caesars-constituyentes/U1aCOTtYTfWlXbIPLxC8RQ,Little Caesars (Constituyentes),4.8,500,
1616368524-97,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Nambila,https://www.ubereats.com/queretaro/food-delivery/nambila/iTBAleOSTceGCPMCoTZL4w,Nambila,null,null,
1616368535-98,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,"""La Patrona"" Pizzas",https://www.ubereats.com/queretaro/food-delivery/%22la-patrona%22-pizzas/NRMquIBuRbOA5BKXrFJT5A,"""La Patrona"" Pizzas",4.8,-91,
1616367811-39,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Cinnirolls,https://www.ubereats.com/queretaro/food-delivery/cinnirolls/azAp8T_fQXO3Tr8LfpnFcA,Cinnirolls,null,null,
1616368005-54,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Lynchburg,https://www.ubereats.com/queretaro/food-delivery/lynchburg/vcDKNXkrT3mpG40TDtkUNw,Lynchburg,null,null,
1616367797-38,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Pavarotti's,https://www.ubereats.com/queretaro/food-delivery/pavarottis/RJtX136vTCSZ0m9ZPWfd8A,Pavarotti's,null,null,
1616368338-81,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Gabo´s Pizza & Grill (Popocatépetl),https://www.ubereats.com/queretaro/food-delivery/gabo-s-pizza-%26-grill-popocatepetl/HeW5I9_rTo-XJPSXnbYdhQ,Gabo´s Pizza & Grill (Popocatépetl),null,null,
1616368221-71,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,El Globo Queretaro Jardines,https://www.ubereats.com/queretaro/food-delivery/el-globo-queretaro-jardines/MRKEqcr_TAy5Yfpgmz4v5w,El Globo Queretaro Jardines,4.8,-482,
1616368349-82,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Stromboli Pizzas,https://www.ubereats.com/queretaro/food-delivery/stromboli-pizzas/fGod1c2BTf-eXJrUNwV9wQ,Stromboli Pizzas,3.5,-20,
1616368085-60,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Henry Miner BBQ & Pizza,https://www.ubereats.com/queretaro/food-delivery/henry-miner-bbq-%26-pizza/MJF-1rFQR-egj47RK1XQLw,Henry Miner BBQ & Pizza,null,null,
1616368383-85,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Todo Empanadas,https://www.ubereats.com/queretaro/food-delivery/todo-empanadas/hf-p_rOfTTanae8nn1XMPw,Todo Empanadas,4.6,-30,
1616368558-100,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE,Pizzeta (Arcos),https://www.ubereats.com/queretaro/food-delivery/pizzeta-arcos/mW-QXCQ9S0-GtFmg0EErTg,Pizzeta (Arcos),4.3,-46,
